Honest-Barcode-Text-Handheld-NonHeadless-CPU,Honest-Barcode-Text-Handheld-NonHeadless-MEM,Mal-Barcode-Text-Handheld-NonHeadless-CPU,Mal-Barcode-Text-Handheld-NonHeadless-MEM,Honest-Barcode-Text-Headless-CPU,Honest-Barcode-Text-Headless-MEM,Mal-Barcode-Text-Headless-CPU,Mal-Barcode-Text-Headless-MEM,Honest-Barcode-Text-Handheld-Headless-CPU,Honest-Barcode-Text-Handheld-Headless-MEM,Mal-Barcode-Text-Handheld-Headless-CPU,Mal-Barcode-Text-Handheld-Headless-MEM
128,1.4,288,1.4,,,,,,,,
132,1.4,238,1.4,,,,,,,,
136,1.4,280,1.4,,,,,,,,
116,1.4,284,1.5,,,,,,,,
132,1.4,268,1.4,,,,,,,,
120,1.4,288,1.4,,,,,,,,
132,1.4,252,1.4,,,,,,,,
132,1.4,296,1.4,,,,,,,,
136,1.4,264,1.4,,,,,,,,
124,1.4,252,1.4,,,,,,,,
128,1.4,304,1.4,,,,,,,,
132,1.4,207,1.4,,,,,,,,
136,1.9,348,1.4,,,,,,,,
132,1.4,228,1.4,,,,,,,,
136,1.4,352,1.4,,,,,,,,
112,1.4,236,1.6,,,,,,,,
124,1.6,226,1.4,,,,,,,,
132,1.7,268,1.4,,,,,,,,
128,1.4,276,1.4,,,,,,,,
132,1.6,256,1.6,,,,,,,,
124,1.4,228,1.4,,,,,,,,
120,1.4,288,1.5,,,,,,,,
120,1.4,276,1.4,,,,,,,,
124,1.4,196,1.4,,,,,,,,
120,1.4,200,1.4,,,,,,,,
116,1.4,180,1.4,,,,,,,,
116,1.4,192,1.4,,,,,,,,
116,1.4,256,1.4,,,,,,,,
116,1.4,332,1.4,,,,,,,,
124,1.4,368,1.4,,,,,,,,
128,1.4,364,1.4,,,,,,,,
120,1.4,364,1.4,,,,,,,,
120,1.4,256,1.4,,,,,,,,
120,1.4,224,1.4,,,,,,,,
120,1.4,152,1.4,,,,,,,,
112,1.4,220,1.4,,,,,,,,
116,1.4,252,1.4,,,,,,,,
116,1.4,328,1.4,,,,,,,,
128,1.4,292,1.4,,,,,,,,
132,1.4,256,1.4,,,,,,,,
132,1.6,240,1.4,,,,,,,,
120,1.4,340,1.4,,,,,,,,
132,1.4,268,1.4,,,,,,,,
112,1.4,252,1.4,,,,,,,,
128,1.4,328,1.4,,,,,,,,
120,1.4,280,1.4,,,,,,,,
128,1.4,288,1.4,,,,,,,,
132,1.4,328,1.4,,,,,,,,
116,1.4,264,1.4,,,,,,,,
120,1.4,244,1.4,,,,,,,,
124,1.4,326,1.4,,,,,,,,
132,1.4,276,1.4,,,,,,,,
128,1.4,252,1.4,,,,,,,,
128,1.4,256,1.4,,,,,,,,
132,1.4,276,1.4,,,,,,,,
132,1.4,256,1.7,,,,,,,,
124,1.4,264,1.4,,,,,,,,
132,1.4,256,1.4,,,,,,,,
128,1.4,260,1.5,,,,,,,,
116,1.4,260,2,,,,,,,,
132,1.4,272,1.8,,,,,,,,
128,1.4,304,1.8,,,,,,,,
132,1.4,256,1.8,,,,,,,,
132,1.4,260,1.8,,,,,,,,
120,1.4,256,1.5,,,,,,,,
132,1.4,284,1.9,,,,,,,,
132,1.4,260,1.8,,,,,,,,
136,1.4,288,1.8,,,,,,,,
132,1.4,280,1.8,,,,,,,,
124,1.4,264,1.7,,,,,,,,
132,1.4,304,1.9,,,,,,,,
128,1.4,272,1.6,,,,,,,,
124,1.4,252,1.4,,,,,,,,
136,1.4,284,1.9,,,,,,,,
124,1.4,292,1.8,,,,,,,,
136,1.4,288,1.6,,,,,,,,
116,1.4,280,1.9,,,,,,,,
128,1.4,252,1.4,,,,,,,,
136,1.4,264,1.8,,,,,,,,
128,1.4,268,1.9,,,,,,,,
124,1.4,220,1.6,,,,,,,,
132,1.4,234,1.7,,,,,,,,
136,1.4,,,,,,,,,,
