barcode_cpu_trial1,barcode_mem_trial1,barcode_cpu_trial2,barcode_mem_trial2,barcode_cpu_trial3,barcode_mem_trial3,barcode_cpu_trial4,barcode_mem_trial4,barcode_cpu_trial5,barcode_mem_trial5,barcode_cpu_trial6,barcode_mem_trial6,barcode_cpu_trial7,barcode_mem_trial7,barcodeText_cpu_trial1,barcodeText_mem_trial1,barcodeText_cpu_trial2,barcodeText_mem_trial2,barcodeText_cpu_trial3,barcodeText_mem_trial3,barcodeText_cpu_trial4,barcodeText_mem_trial4,barcode_cpu_phone1,barcode_mem_phone1,barcodeText_cpu_phone1,barcodeText_mem_phone1
70.9,3,,,64.5,3,96.7,3,93.7,2.5,84,6,69.2,6,211,50.4,,,84.3,48.4,254,47.8,50,1.7,200,5.2
100,3,,,78.1,3.6,100,3.6,74.1,3.2,80.7,6.2,80.7,6.4,305,49.7,,,321,47.9,254,48.4,25.8,1.8,200,4.9
93.5,2.5,,,96.7,2.6,60,3.4,70,3.3,80,6.3,73,6.4,300,49.5,,,257,48.5,253,48.5,51.7,1.8,203,4.2
63.3,2.8,,,78.1,2.7,100,3,103,3.7,84,6.5,80.7,6.5,270,49.6,,,272,48.3,154,48.6,34.4,1.8,189,4.2
68.7,3,,,96.8,3,74.1,3.3,93.5,2.5,84,6,88.4,6.8,340,50.4,,,315,48.8,125,48.1,37.9,1.8,190,4.5
63.6,2.6,,,87.5,3.2,96.7,2.6,73.3,3.2,73,6.3,76.9,6.2,96.9,49.4,,,293,47.8,256,48.6,44.8,1.8,183,3.7
103,3.2,,,100,3.4,64.5,2.8,84.3,2.9,80.7,6.4,75,6.4,309,48.8,,,323,48.2,300,49.4,40.6,1.9,206,3.4
84.3,3,,,87,3.6,100,2.5,87.8,2.5,72,6.5,76.9,6.4,325,50,,,139,49,160,49.1,40,1.9,183,4.9
74.1,3.6,,,80,2.7,96.7,3.3,60,2.7,84.6,6.6,80,6.5,212,48.6,,,300,48.2,264,49.3,43.3,1.9,203,6.4
100,3.2,,,100,3,93.7,3.4,100,3.3,80.7,6,80.7,6.7,218,49.3,,,330,48,303,48.9,38.7,1.9,226,5.7
59.3,3,,,54.8,3.2,90.6,2.8,51.6,3,76.9,6,84,6.2,175,48.9,,,196,48.3,216,49.2,56.6,2,206,5.7
96.7,3.2,,,96.8,3.4,58,2.5,110,3.6,80.7,6.2,69.2,6.4,296,48.4,,,331,48.3,283,50,43.7,2,240,5.4
