trial1,trial2,trial3
51.6,35.4,43.3
48.2,31,44.1
38.7,41.9,62.5
46.6,43.3,30
66.6,31,38.7
38.7,44.8,23.3
44.8,51.7,26.6
48.3,44.8,36.6
50,23.3,31
55.1,67.7,46.6
45.1,38.7,43.3
54.8,65.5,53.3
55.1,34.3,50
43.3,36.6,68.9
27.5,54.8,46.6
40,45.1,56.6
43.3,43.3,45.1
40.6,41.3,58
33.3,40.6,58
55.1,44.8,60
43.3,34.4,63.3
48.2,43.3,30
43.3,44.8,35.4
48.3,50,27.5
65.5,25,32.2
44.8,65.5,51.6
50,34.4,35.4
50,33.3,48.2
56.6,33.3,32.2
40,44.8,61.2
68.9,44.8,37.9
38.7,58.6,26.6
63.3,61.2,55.1
46.6,31,56.6
58,60,51.7
18.7,29,70
29,50,54.8
24.1,54.8,56.6
63.3,30,60
34.3,22.5,34.3
64.5,36.6,30
50,26.6,43.3
86.6,31,32.2
65.5,23.3,34.4
65.5,46.6,46.6
37.5,19.3,30
62,30,46.6
51.6,27.5,51.7
73.3,46.6,50
53.3,50,63.3
64.5,50,32.2
48.3,82.7,30
22.5,48.2,41.3
26.6,56.6,56.2
36.6,32.2,55.1
45.1,43.3,41.9
46.6,75.8,34.3
46.6,51.7,54.8
32.2,48.3,32.2
48.3,41.9,72.4
56.6,41.3,43.3
50,46.6,23.3
30,48.2,37.9
58.6,53.3,30
51.7,58.6,40
62,63.3,56.6
50,30,86.2
73.3,41.3,58.6
72.4,58.6,65.5
56.6,56.6,46.6
37.5,65.5,33.3
41.9,33.3,41.9
45.1,75.8,38.7
34.4,62,44.8
53.3,55.1,38.7
48.2,48.3,65.5
55.1,46.6,45.1
53.3,30,38.7
58.6,55.1,38.7
62,51.7,37.5
72.4,63.3,43.7
48.3,50,43.3
68.9,63.3,23.3
29,56.6,30
43.3,37.9,60
34.3,62,58
56.6,33.3,62
36.6,27.5,43.3
56.2,34.4,37.5
53.3,31,41.3
75.8,31,36.6
68.9,30,33.3
70,46.6,25.8
45.1,58.6,61.2
34.3,43.3,50
41.9,35.4,54.8
55.1,68.9,58
33.3,56.6,43.3
60,65.5,60
60,36.6,41.3
38.7,23.3,38.7
64.5,37.9,34.3
38.7,55.1,32.2
65.5,44.8,43.3
40.6,41.9,31
65.5,38.7,40
37.9,45.1,58.6
64.5,40,41.9
51.7,36.6,25.8
54.8,60,48.3
43.3,56.6,58.6
58,35.4,35.4
29,62,46.6
50,34.4,46.6
30,34.4,48.3
53.1,25.8,50
50,50,60
62,54.8,53.3
56.6,35.4,43.3
60,41.3,46.6
37.9,60,45.1
56.6,48.3,56.6
51.6,38.7,44.8
76.6,33.3,46.6
55.1,34.4,37.9
31,35.4,51.6
50,34.4,50
48.3,35.4,68.9
48.2,45.1,46.6
50,36.6,41.3
46.6,72.4,36.6
46.6,63.3,27.5
38.7,41.9,37.5
44.8,36.6,32.2
45.1,41.3,45.1
38.7,46.6,32.2
54.8,31.2,35.4
38.7,37.9,33.3
62,41.3,32.2
36.6,62,33.3
51.6,35.4,45.1
48.2,51.6,67.7
73.3,33.3,60
80,31,56.6
53.3,34.4,62
44.8,55.1,56.6
